Suburb_Cod,Census_2011,easting,northing,x,y,totpedcr,totpedcr_after,ksi,popu,logpopu,popudens,children,yadults,hdpg,loweduc,avgeduc,informdwe,lowinc,unemplorate,lum,comuse,locbuse,gbuse,ginduse,freexpres,arterials,locdistr,rdnetwork,psl60,psl80,psl100,avgpsl,rintocul,int4plusleg,signalint,pctsingalint,intdens,linintdens,strdens,busrtes,brtrtes,railsta,mbustaxirtes,distocbd,nonrezuse
97,Manenberg,-41648.94819,-3762065.104,18.549262,-33.984784,381,287,121,62542,4.796,9449.527,27.745,17.930,96.275,21.992,73.814,6.408,73.093,35.033,0.545,70.110,4.233,10.427,43.458,6.584,11.177,1.931,105.194,100.000,3.686,0.002,60.170,5.043,96.000,11.000,2.321,71.617,4.506,15.894,1159.967,6.184,0.000,378.953,18.900,128.230
5,Belhar,-33925.07728,-3757657.545,18.633021,-33.945325,416,199,125,56812,4.754,6952.773,24.799,18.020,95.893,15.701,74.477,1.479,47.544,20.692,0.484,132.664,0.000,33.989,2.514,11.145,12.695,2.165,134.980,99.029,6.774,0.959,60.060,3.273,99.000,14.000,2.205,77.713,4.704,16.519,927.689,0.000,1.000,516.889,22.100,169.160
6,Bellville,-32575.75607,-3752143.776,18.647821,-33.89566,662,342,138,47036,4.672,2634.920,17.757,13.990,34.710,3.057,63.781,0.256,24.643,6.786,0.595,235.500,26.875,81.418,239.503,23.279,49.639,0.731,283.603,97.768,5.950,5.950,59.500,3.216,260.000,49.000,4.776,57.475,3.618,15.887,960.044,0.000,2.000,474.016,24.400,583.290
24,Cape Town CBD,-53344.34619,-3755151.449,18.423116,-33.921928,784,528,155,6051,3.782,2101.165,4.841,24.388,63.409,2.338,32.294,0.123,20.543,4.815,0.627,4.846,0.000,101.639,0.000,6.942,18.830,0.141,67.331,99.570,10.575,0.000,60.290,7.333,152.000,81.000,23.011,122.235,5.228,23.381,532.352,124.217,1.000,314.971,0.010,106.490
116,Nyanga,-38603.77444,-3762979.168,18.582176,-33.99314,362,390,176,64053,4.807,20735.054,29.076,18.781,99.169,18.239,76.423,27.618,87.133,40.578,0.385,41.596,0.000,4.188,0.107,0.000,5.954,0.000,74.012,100.000,0.000,0.000,60.000,6.682,62.000,10.000,2.268,142.760,5.958,23.959,983.655,0.000,0.000,264.852,21.500,45.900
162,Strand,-13560.78451,-3777097.16,18.85301,-34.121039,811,555,181,124461,5.095,5764.510,27.293,16.900,81.058,15.541,72.412,17.551,66.158,23.916,0.677,63.517,1.771,84.442,197.800,0.000,30.425,7.713,284.375,92.115,2.113,0.413,57.920,2.142,485.000,22.000,1.330,76.606,5.816,13.171,155.002,0.000,1.000,381.771,49.600,347.530
46,Elsies River,-38719.19677,-3755813.793,18.581246,-33.928539,660,209,192,91357,4.961,9674.297,26.736,17.433,98.655,22.215,73.849,10.732,67.338,23.163,0.468,161.618,10.845,12.167,111.330,5.526,20.156,0.000,151.698,100.000,0.000,0.000,60.160,2.367,174.000,23.000,2.700,90.223,5.616,16.064,690.834,0.000,1.000,402.803,21.200,295.960
103,Mfuleni,-30687.7486,-3763983.462,18.667819,-34.002455,415,231,204,70820,4.850,4821.001,32.459,17.939,99.185,15.827,80.917,42.365,88.329,35.243,0.449,43.956,0.000,3.342,24.145,15.493,7.042,0.000,129.321,99.147,18.620,18.620,61.140,5.348,216.000,0.000,0.000,50.238,5.707,8.803,921.850,18.066,0.000,286.883,31.800,71.450
63,Gugulethu,-39796.14293,-3761865.219,18.569322,-33.983054,640,422,303,108707,5.036,16737.542,27.583,17.432,99.559,13.663,80.942,41.613,82.282,35.302,0.468,119.527,0.030,13.325,0.384,5.506,11.102,0.000,101.194,99.742,4.889,3.959,60.360,6.414,108.000,7.000,1.102,97.771,6.275,15.581,1106.983,23.989,2.000,630.739,17.800,133.260
106,Mitchells Plain,-36375.61307,-3769625.418,18.606012,-34.053137,1238,653,338,314215,5.497,7180.816,26.826,16.971,98.665,15.472,78.418,3.098,51.202,23.333,0.455,495.502,0.651,83.929,8.916,24.466,68.928,4.024,632.041,97.329,3.000,2.100,59.470,3.513,583.000,51.000,1.602,72.742,5.036,14.444,5102.329,94.325,4.000,1047.389,28.600,589.000
38,Delft,-33335.36948,-3760763.888,18.639281,-33.973351,873,562,339,159882,5.204,14423.280,31.450,18.992,98.065,19.382,77.528,13.672,83.471,38.725,0.548,137.194,0.157,11.761,2.409,9.428,12.915,2.718,241.193,97.507,3.945,3.680,59.760,5.679,417.000,6.000,0.394,137.303,6.310,21.759,1552.187,5.879,0.000,521.390,27.700,151.520
130,Philippi,-37469.59334,-3764762.388,18.594375,-34.009256,1063,431,500,210064,5.322,16705.166,30.525,19.099,98.971,17.042,79.410,50.778,89.396,34.034,0.483,69.465,0.256,33.489,215.809,6.097,19.241,0.450,199.785,98.603,2.121,2.121,59.780,3.370,260.000,16.000,1.099,115.787,7.288,15.888,1781.075,17.274,1.000,585.018,21.900,319.020
76,Khayelitsha,-30268.78421,-3768291.176,18.672208,-34.041302,1946,761,821,432545,5.636,11173.971,29.945,19.375,99.321,15.417,79.989,49.031,84.800,33.737,0.462,240.401,0.185,68.217,27.713,15.639,55.055,0.000,495.754,99.750,4.457,4.268,60.250,2.849,556.000,9.000,0.283,82.123,6.412,12.807,6935.857,42.059,5.000,509.785,33.400,336.520
